477972.465340427, 3638147.250314925, -0.0015747550889614551
477972.46327019465, 3638147.0212110984, 0.2
477972.4596739255, 3638146.8068918684, 0.2
477972.46227662533, 3638146.5759299677, 0.2
477972.4555252151, 3638146.344988939, 0.2
477972.45343436906, 3638146.1066469178, 0.2
477972.4357533383, 3638145.868339681, 0.2
477972.42431662616, 3638145.6337138116, 0.2
477972.40819461015, 3638145.3954030955, 0.2
477972.390521825, 3638145.1607911396, 0.2
477972.37283666857, 3638144.920636264, 0.2
477972.35829015984, 3638144.6897126297, 0.2
477972.34527381253, 3638144.4458520412, 0.2
477972.3244994754, 3638144.2186376, 0.2
477972.3099364762, 3638143.980323407, 0.2
477972.28913740104, 3638143.74202313, 0.2
477972.2698973438, 3638143.503719375, 0.2
477972.2475392456, 3638143.265422576, 0.2
477972.21737368597, 3638143.021600252, 0.2
477972.1950073424, 3638142.779608174, 0.2
477972.16795569536, 3638142.5339312553, 0.2
477972.14401383715, 3638142.284552099, 0.2
477972.113852395, 3638142.0425774157, 0.2
477972.08679662127, 3638141.7950528557, 0.2
477972.050386729, 3638141.5475491695, 0.2
477972.0171031213, 3638141.303733805, 0.2
477971.9837906526, 3638141.0469849636, 0.2
477971.9536127118, 3638140.797619723, 0.2
477971.90939947066, 3638140.5464381524, 0.2
477971.87143055274, 3638140.298937945, 0.2
477971.83346987853, 3638140.0551330186, 0.2
477971.787714103, 3638139.811345485, 0.2
477971.7373183747, 3638139.5841971454, 0.2
477971.69310924574, 3638139.334863216, 0.2
477971.63644445204, 3638139.0929476735, 0.2
477971.58132218145, 3638138.843638096, 0.2
477971.53245660325, 3638138.603552801, 0.2
477971.5194484747, 3638138.363387493, 0.2
477971.5002042668, 3638138.1232361007, 0.2
477971.4903224198, 3638137.886759114, 0.2
477971.48509701964, 3638137.641033495, 0.2
477971.49857573654, 3638137.3934184895, 0.2
477971.50272094697, 3638137.155062554, 0.2
477971.51465713425, 3638136.914841586, 0.2
477971.5281564649, 3638136.6764647774, 0.2
477971.53853775637, 3638136.4380949275, 0.2
477971.55048219126, 3638136.2015692387, 0.2
477971.5639897696, 3638135.9668877106, 0.2
477971.5697187398, 3638135.739614136, 0.2
477971.5785781213, 3638135.517876519, 0.2
477971.5780957486, 3638135.3017026964, 0.2
477971.5807396596, 3638135.089217194, 0.2
477971.5880441424, 3638134.869330698, 0.2
477971.5891249155, 3638134.655001036, 0.2
477971.59020980675, 3638134.442519013, 0.2
477971.5928537208, 3638134.23003351, 0.2
477971.5923713487, 3638134.0138596874, 0.2
477971.59033820423, 3638133.8013846213, 0.2
477971.5851787685, 3638133.585221236, 0.2
477971.58470051916, 3638133.3708950505, 0.2
477971.5857441871, 3638133.1399366343, 0.2
477971.5774708329, 3638132.9256278444, 0.2
477971.5629655214, 3638132.713180611, 0.2
477971.5609364968, 3638132.5025531854, 0.2
477971.54488040955, 3638132.2938047084, 0.2
477971.5319506086, 3638132.088744553, 0.2
477971.51587390585, 3638131.8707578797, 0.2
477971.49981369387, 3638131.6601617644, 0.2
477971.485312502, 3638131.44956217, 0.2
477971.464558735, 3638131.231585934, 0.2
477971.44226655824, 3638131.0228513717, 0.2
477971.4153014433, 3638130.8159748884, 0.2
477971.39922061336, 3638130.596140575, 0.2
477971.37536116963, 3638130.3837142144, 0.2
477971.35150584544, 3638130.173135494, 0.2
477971.3198636635, 3638129.966269447, 0.2
477971.3069173638, 3638129.753818734, 0.2
477971.3345056107, 3638129.5412775725, 0.2
477971.32937090774, 3638129.3362000254, 0.2
477971.37878957717, 3638129.125457798, 0.2
477971.41887885676, 3638128.925822283, 0.2
477971.47143618687, 3638128.724311298, 0.2
477971.5489378561, 3638128.5227446496, 0.2
477971.6077395217, 3638128.3249150296, 0.2
477971.68057237874, 3638128.1270540985, 0.2
477971.81425654766, 3638127.9512291723, 0.2
477971.9104788567, 3638127.755163702, 0.2
477971.992686466, 3638127.5665201, 0.2
477972.1216977067, 3638127.3925532512, 0.2
477972.2491334373, 3638127.2111993264, 0.2
477972.37036194565, 3638127.042792795, 0.2
477972.49314535694, 3638126.8725351472, 0.2
477972.6143573831, 3638126.69673806, 0.2
477972.78399802325, 3638126.5651764846, 0.2
477972.9333054291, 3638126.4040979026, 0.2
477973.0841759816, 3638126.2448634836, 0.2
477973.2334833972, 3638126.083784908, 0.2
477973.37967689463, 3638125.9245609273, 0.2
477973.5305639515, 3638125.772717074, 0.2
477973.6705172492, 3638125.6116593755, 0.2
477973.80892802187, 3638125.457995714, 0.2
477973.953550149, 3638125.293232304, 0.2
477974.0935075828, 3638125.1340222512, 0.2
477974.23188539007, 3638124.9655774795, 0.2
477974.3796461866, 3638124.8100453173, 0.2
477974.5304714418, 3638124.630486887, 0.2
477974.68132556067, 3638124.4638619334, 0.2
477974.82595596137, 3638124.3027938176, 0.2
477974.97054926713, 3638124.1250969474, 0.2
477975.1151631889, 3638123.956638276, 0.2
477975.2582222182, 3638123.7900307234, 0.2
477975.3996892511, 3638123.6086455374, 0.2
477975.5427441658, 3638123.4401903516, 0.2
477975.7217060591, 3638123.293826843, 0.2
477975.9069741202, 3638123.1788592967, 0.2
477976.08283034305, 3638123.0380456704, 0.2
477976.25871130504, 3638122.9083178835, 0.2
477976.4407995066, 3638122.765642712, 0.2
477976.61981088563, 3638122.6414508927, 0.2
477976.81288644567, 3638122.5320088924, 0.2
477976.9996929444, 3638122.407799692, 0.2
477977.2068780265, 3638122.3334315484, 0.2
477977.40619380947, 3638122.2258232883, 0.2
477977.6117786592, 3638122.132982235, 0.2
477977.828268425, 3638122.0364215644, 0.2
477978.0245032708, 3638121.9454490254, 0.2
477978.23167188384, 3638121.863690346, 0.2
477978.43882401416, 3638121.774541112, 0.2
477978.644429488, 3638121.6909382786, 0.2
477978.8531406479, 3638121.601785576, 0.2
477979.0618476901, 3638121.510785239, 0.2
477979.27056710026, 3638121.4253278226, 0.2
477979.4823921947, 3638121.334320539, 0.2
477979.6895361046, 3638121.241476052, 0.2
477979.8997856993, 3638121.1430816976, 0.2
477980.11162316916, 3638121.0576173454, 0.2
477980.3249866956, 3638120.957368405, 0.2
477980.54149299796, 3638120.86819835, 0.2
477980.7706280855, 3638120.849210783, 0.2
477980.9903760709, 3638120.815462969, 0.2
477981.2225797531, 3638120.7742967824, 0.2
477981.4532615035, 3638120.7497628354, 0.2
477981.67618111026, 3638120.740027394, 0.2
477981.8960032771, 3638120.7395371106, 0.2
477982.12049839034, 3638120.737188761, 0.2
477982.34653192206, 3638120.725598741, 0.2
477982.5741327182, 3638120.717700528, 0.2
477982.7955056664, 3638120.713511509, 0.2
477983.0402433478, 3638120.7000321425, 0.2
477983.2678523862, 3638120.6958292252, 0.2
477983.4954449425, 3638120.6842357554, 0.2
477983.72304161976, 3638120.67448993, 0.2
477983.94752025255, 3638120.6647510636, 0.2
477984.17822673696, 3638120.651303018, 0.2
477984.40112986416, 3638120.634177079, 0.2
477984.6287141822, 3638120.618888357, 0.2
477984.8516214359, 3638120.6036100686, 0.2
477985.0760918307, 3638120.590175951, 0.2
477985.3067941955, 3638120.5748802903, 0.2
477985.5281259455, 3638120.5522149373, 0.2
477985.75257986155, 3638120.5313902744, 0.2
477985.96456983907, 3638120.51428871, 0.2
477986.1859057119, 3638120.4934710106, 0.2
477986.4009890132, 3638120.4652766646, 0.2
477986.62698547775, 3638120.4370579887, 0.2
477986.8514311586, 3638120.412538071, 0.2
477987.08052918845, 3638120.376921895, 0.2
477987.29873466195, 3638120.3505682554, 0.2
477987.5279480502, 3638120.3666859954, 0.2
477987.73684470786, 3638120.3606772562, 0.2
477987.95825886296, 3638120.374964746, 0.2
477988.1858885087, 3638120.3800001405, 0.2
477988.4135140345, 3638120.3831879008, 0.2
477988.6411560386, 3638120.393766223, 0.2
477988.8641250944, 3638120.406202618, 0.2
477989.0917423801, 3638120.4056951143, 0.2
477989.3193514269, 3638120.4014923368, 0.2
477989.54850713786, 3638120.39174317, 0.2
